parent,code,label,description,gradeFrom,gradeTo,order
A,A-MEF,Myself and Family,"Understanding self, family and relationships",1,2,1
A,A-BDY,Human Body,"Body parts, senses and health",1,3,2
A,A-FOD,Food and Nutrition,"Food habits, nutrients and health",1,4,3
A,A-PLA,Plants and Trees,"Plant life, parts and importance",1,4,4
A,A-ANI,Animals,"Animal types, habitats and care",1,4,5
A,A-HOM,Houses and Shelter,Houses types and materials,1,3,6
A,A-WAT,Water,"Uses, sources and conservation of water",2,5,7
A,A-AIR,Air,"Air importance, pollution and protection",2,5,8
A,A-EAR,Earth and Soil,"Earth, soil types and uses",2,5,9
A,A-WEA,Weather and Seasons,Weather changes and seasons,2,4,10
A,A-TRA,Transport and Communication,Means of transport and communication,2,4,11
A,A-WRK,Work and Occupations,Jobs and occupations in society,2,4,12
A,A-NEI,Neighbourhood and Community,Community helpers and services,2,4,13
A,A-SAF,Safety and First Aid,Personal safety and basic first aid,3,5,14
A,A-ENV,Environment and Pollution,Environmental protection and pollution,3,5,15
A,A-RES,Natural Resources,Resources types and conservation,3,5,16
A,A-CLI,Climate and Disasters,Climate awareness and natural disasters,4,6,17
A,A-CIV,Civic Sense and Responsibility,"Rules, responsibilities and good habits",1,5,18
A,A-POL,Pollution,"Types of pollution, causes, effects and prevention",6,10,19
A,A-CNS,Conservation,"Conservation of resources, forests, water and wildlife",6,10,20
A,A-CLM,Climate & Weather,"Weather phenomena, climate zones and global climate change",6,10,21
A,A-HUM,Human Impact,"Human activities, sustainable development and environmental ethics",7,10,22
B,B-CEL,Cells,"Study of cell structure, organelles, and functions",6,7,1
B,B-TIS,Tissues,"Plant and animal tissues, structure and function",6,8,2
B,B-ORG,Organs & Systems,Human organ systems and their functions,7,10,3
B,B-PLT,Plant Biology,"Structure, reproduction, and growth of plants",6,9,4
B,B-ANI,Animal Biology,"Classification, characteristics and reproduction of animals",6,9,5
B,B-ECO,Ecology,"Ecosystems, interactions, food chains and webs",7,10,6
B,B-HUM,Human Health,"Nutrition, diseases, hygiene, and first aid",7,10,7
B,B-GEN,Genetics,"Inheritance, traits, DNA basics and heredity",8,10,8
C,C-MAT,Matter,"States of matter, properties, classification and changes",6,7,1
C,C-ATM,Atoms & Molecules,"Structure of atoms, molecules, elements, compounds",6,8,2
C,C-STR,Structure of Matter,"Particles, atomic theory, chemical formulas",6,9,3
C,C-REA,Chemical Reactions,"Types of reactions, balancing equations",7,10,4
C,C-ACD,Acids & Bases,"Properties, indicators and reactions of acids and bases",7,10,5
C,C-SOL,Solutions,"Solubility, concentration, types of solutions",7,10,6
C,C-MET,Metals & Nonmetals,"Properties, uses, reactions, corrosion",7,10,7
C,C-ORG,Organic Chemistry,Introduction to carbon compounds and hydrocarbons,8,10,8
C,C-ENE,Energy in Chemistry,"Exothermic, endothermic reactions, energy changes",8,10,9
E,E-ALN,Alphabet and Letters,"Understanding alphabet letters, vowels, consonants",1,2,1
E,E-WRD,Words,"Forming and recognizing words, spelling rules",1,3,2
E,E-SEN,Sentences,"Sentence formation, types of sentences",1,4,3
E,E-PUN,Punctuation,Using punctuation marks correctly,2,5,4
E,E-TNS,Tenses,Understanding and applying tenses,3,7,5
E,E-PRN,Pronouns,Usage of pronouns and their types,3,6,6
E,E-ADJ,Adjectives,Identifying and using adjectives,3,6,7
E,E-ADV,Adverbs,Identifying and using adverbs,4,7,8
E,E-VRB,Verbs,Identifying and using verbs,3,7,9
E,E-SUB,Subject-Verb Agreement,Agreement rules between subject and verb,4,8,10
E,E-ART,Articles,"Usage of a, an, the",3,6,11
E,E-PRE,Prepositions,Usage and types of prepositions,4,7,12
E,E-CON,Conjunctions,Connecting words and sentences,4,7,13
E,E-INT,Interjections,Usage of interjections in sentences,5,8,14
